order_id,order_date,product_id,product_name,category,region,customer_segment,list_price,selling_price,discount_percent,unit_cost,quantity_sold,revenue,gross_profit,gross_margin_percent
1,2024-10-07,P007,Monitor 24 inch,Electronics,North,Enterprise,180,162.0,10,110,4,648.0,208.0,32.1
2,2024-06-28,P010,Webcam,Accessories,West,Consumer,120,114.0,5,70,8,912.0,352.0,38.6
3,2024-09-27,P010,Webcam,Accessories,East,Small Business,120,120.0,0,70,8,960.0,400.0,41.67
4,2024-12-25,P005,Office Chair,Furniture,North,Consumer,250,212.5,15,140,11,2337.5,797.5,34.12
5,2024-02-27,P002,Laptop Pro,Electronics,South,Enterprise,1200,1200.0,0,850,6,7200.0,2100.0,29.17
6,2024-05-30,P001,Laptop Basic,Electronics,West,Consumer,700,665.0,5,480,6,3990.0,1110.0,27.82
7,2024-03-05,P009,Headset,Accessories,North,Small Business,90,85.5,5,45,1,85.5,40.5,47.37
8,2024-06-13,P001,Laptop Basic,Electronics,East,Consumer,700,665.0,5,480,10,6650.0,1850.0,27.82
9,2024-07-21,P005,Office Chair,Furniture,East,Small Business,250,212.5,15,140,6,1275.0,435.0,34.12
10,2024-01-31,P005,Office Chair,Furniture,West,Consumer,250,225.0,10,140,5,1125.0,425.0,37.78
11,2024-04-03,P007,Monitor 24 inch,Electronics,West,Enterprise,180,162.0,10,110,6,972.0,312.0,32.1
12,2024-03-15,P008,Monitor 32 inch,Electronics,East,Consumer,350,315.0,10,230,9,2835.0,765.0,26.98
13,2024-08-14,P004,Keyboard,Accessories,North,Enterprise,65,58.5,10,30,8,468.0,228.0,48.72
14,2024-08-01,P005,Office Chair,Furniture,South,Enterprise,250,237.5,5,140,6,1425.0,585.0,41.05
15,2024-02-19,P009,Headset,Accessories,West,Consumer,90,90.0,0,45,6,540.0,270.0,50.0
16,2024-12-06,P009,Headset,Accessories,West,Enterprise,90,90.0,0,45,10,900.0,450.0,50.0
17,2024-06-23,P007,Monitor 24 inch,Electronics,East,Small Business,180,153.0,15,110,4,612.0,172.0,28.1
18,2024-12-24,P001,Laptop Basic,Electronics,South,Small Business,700,630.0,10,480,7,4410.0,1050.0,23.81
19,2024-03-22,P005,Office Chair,Furniture,East,Enterprise,250,250.0,0,140,7,1750.0,770.0,44.0
20,2024-12-12,P006,Standing Desk,Furniture,North,Small Business,600,510.0,15,390,9,4590.0,1080.0,23.53
21,2024-05-09,P004,Keyboard,Accessories,North,Small Business,65,61.75,5,30,16,988.0,508.0,51.42
22,2024-05-17,P010,Webcam,Accessories,East,Small Business,120,114.0,5,70,11,1254.0,484.0,38.6
23,2024-05-18,P009,Headset,Accessories,East,Enterprise,90,63.0,30,45,8,504.0,144.0,28.57
24,2024-04-22,P005,Office Chair,Furniture,West,Small Business,250,187.5,25,140,10,1875.0,475.0,25.33
25,2024-01-02,P003,Wireless Mouse,Accessories,West,Consumer,40,40.0,0,18,4,160.0,88.0,55.0
26,2024-05-18,P005,Office Chair,Furniture,North,Consumer,250,237.5,5,140,3,712.5,292.5,41.05
27,2024-05-15,P002,Laptop Pro,Electronics,East,Enterprise,1200,960.0,20,850,3,2880.0,330.0,11.46
28,2024-03-01,P008,Monitor 32 inch,Electronics,West,Small Business,350,315.0,10,230,5,1575.0,425.0,26.98
29,2024-05-31,P010,Webcam,Accessories,West,Consumer,120,120.0,0,70,9,1080.0,450.0,41.67
30,2024-09-30,P002,Laptop Pro,Electronics,South,Consumer,1200,1020.0,15,850,10,10200.0,1700.0,16.67
31,2024-11-30,P008,Monitor 32 inch,Electronics,West,Consumer,350,280.0,20,230,7,1960.0,350.0,17.86
32,2024-04-27,P005,Office Chair,Furniture,South,Enterprise,250,250.0,0,140,6,1500.0,660.0,44.0
33,2024-03-17,P005,Office Chair,Furniture,North,Consumer,250,200.0,20,140,3,600.0,180.0,30.0
34,2024-01-12,P004,Keyboard,Accessories,East,Consumer,65,65.0,0,30,11,715.0,385.0,53.85
35,2024-05-20,P009,Headset,Accessories,East,Consumer,90,85.5,5,45,11,940.5,445.5,47.37
36,2024-11-24,P003,Wireless Mouse,Accessories,East,Consumer,40,34.0,15,18,5,170.0,80.0,47.06
37,2024-02-18,P009,Headset,Accessories,South,Consumer,90,67.5,25,45,4,270.0,90.0,33.33
38,2024-05-08,P001,Laptop Basic,Electronics,East,Small Business,700,595.0,15,480,7,4165.0,805.0,19.33
39,2024-10-31,P005,Office Chair,Furniture,West,Enterprise,250,200.0,20,140,12,2400.0,720.0,30.0
40,2024-03-17,P009,Headset,Accessories,East,Enterprise,90,81.0,10,45,9,729.0,324.0,44.44
41,2024-06-25,P007,Monitor 24 inch,Electronics,West,Small Business,180,162.0,10,110,6,972.0,312.0,32.1
42,2024-01-18,P010,Webcam,Accessories,North,Consumer,120,120.0,0,70,7,840.0,350.0,41.67
43,2024-06-03,P006,Standing Desk,Furniture,South,Small Business,600,600.0,0,390,3,1800.0,630.0,35.0
44,2024-05-08,P009,Headset,Accessories,East,Enterprise,90,81.0,10,45,11,891.0,396.0,44.44
45,2024-06-01,P003,Wireless Mouse,Accessories,South,Consumer,40,30.0,25,18,6,180.0,72.0,40.0
46,2024-02-18,P005,Office Chair,Furniture,East,Consumer,250,200.0,20,140,3,600.0,180.0,30.0
47,2024-01-11,P009,Headset,Accessories,West,Consumer,90,85.5,5,45,7,598.5,283.5,47.37
48,2024-03-13,P007,Monitor 24 inch,Electronics,North,Consumer,180,171.0,5,110,6,1026.0,366.0,35.67
49,2024-11-10,P003,Wireless Mouse,Accessories,South,Enterprise,40,30.0,25,18,9,270.0,108.0,40.0
50,2024-08-24,P008,Monitor 32 inch,Electronics,West,Enterprise,350,262.5,25,230,11,2887.5,357.5,12.38
51,2024-11-28,P008,Monitor 32 inch,Electronics,West,Small Business,350,280.0,20,230,12,3360.0,600.0,17.86
52,2024-10-26,P006,Standing Desk,Furniture,South,Small Business,600,450.0,25,390,8,3600.0,480.0,13.33
53,2024-12-04,P008,Monitor 32 inch,Electronics,East,Small Business,350,332.5,5,230,7,2327.5,717.5,30.83
54,2024-10-22,P006,Standing Desk,Furniture,East,Consumer,600,540.0,10,390,6,3240.0,900.0,27.78
55,2024-01-08,P003,Wireless Mouse,Accessories,South,Enterprise,40,32.0,20,18,1,32.0,14.0,43.75
56,2024-05-19,P006,Standing Desk,Furniture,North,Small Business,600,570.0,5,390,9,5130.0,1620.0,31.58
57,2024-02-04,P005,Office Chair,Furniture,North,Consumer,250,250.0,0,140,9,2250.0,990.0,44.0
58,2024-10-08,P007,Monitor 24 inch,Electronics,East,Small Business,180,171.0,5,110,7,1197.0,427.0,35.67
59,2024-06-17,P003,Wireless Mouse,Accessories,West,Small Business,40,36.0,10,18,5,180.0,90.0,50.0
60,2024-10-10,P009,Headset,Accessories,South,Small Business,90,63.0,30,45,12,756.0,216.0,28.57
61,2024-12-25,P002,Laptop Pro,Electronics,East,Enterprise,1200,840.0,30,850,7,5880.0,-70.0,-1.19
62,2024-11-10,P006,Standing Desk,Furniture,North,Enterprise,600,570.0,5,390,2,1140.0,360.0,31.58
63,2024-10-02,P002,Laptop Pro,Electronics,East,Enterprise,1200,1140.0,5,850,8,9120.0,2320.0,25.44
64,2024-08-30,P005,Office Chair,Furniture,South,Small Business,250,225.0,10,140,6,1350.0,510.0,37.78
65,2024-02-13,P004,Keyboard,Accessories,West,Enterprise,65,65.0,0,30,9,585.0,315.0,53.85
66,2024-01-05,P005,Office Chair,Furniture,North,Consumer,250,237.5,5,140,7,1662.5,682.5,41.05
67,2024-07-04,P009,Headset,Accessories,South,Consumer,90,90.0,0,45,9,810.0,405.0,50.0
68,2024-12-26,P004,Keyboard,Accessories,East,Enterprise,65,61.75,5,30,7,432.25,222.25,51.42
69,2024-06-27,P006,Standing Desk,Furniture,East,Consumer,600,510.0,15,390,5,2550.0,600.0,23.53
70,2024-08-11,P008,Monitor 32 inch,Electronics,South,Small Business,350,297.5,15,230,10,2975.0,675.0,22.69
71,2024-01-17,P008,Monitor 32 inch,Electronics,South,Small Business,350,315.0,10,230,12,3780.0,1020.0,26.98
72,2024-08-29,P010,Webcam,Accessories,West,Small Business,120,108.0,10,70,12,1296.0,456.0,35.19
73,2024-06-24,P005,Office Chair,Furniture,West,Enterprise,250,250.0,0,140,6,1500.0,660.0,44.0
74,2024-11-16,P010,Webcam,Accessories,North,Enterprise,120,114.0,5,70,10,1140.0,440.0,38.6
75,2024-05-23,P001,Laptop Basic,Electronics,West,Small Business,700,700.0,0,480,13,9100.0,2860.0,31.43
76,2024-05-06,P007,Monitor 24 inch,Electronics,East,Small Business,180,180.0,0,110,10,1800.0,700.0,38.89
77,2024-04-23,P001,Laptop Basic,Electronics,East,Small Business,700,630.0,10,480,9,5670.0,1350.0,23.81
78,2024-10-22,P009,Headset,Accessories,West,Enterprise,90,85.5,5,45,4,342.0,162.0,47.37
79,2024-08-05,P002,Laptop Pro,Electronics,South,Consumer,1200,1020.0,15,850,9,9180.0,1530.0,16.67
80,2024-06-01,P009,Headset,Accessories,South,Enterprise,90,90.0,0,45,7,630.0,315.0,50.0
81,2024-11-29,P008,Monitor 32 inch,Electronics,South,Enterprise,350,332.5,5,230,6,1995.0,615.0,30.83
82,2024-12-17,P006,Standing Desk,Furniture,East,Small Business,600,510.0,15,390,9,4590.0,1080.0,23.53
83,2024-08-06,P004,Keyboard,Accessories,West,Small Business,65,52.0,20,30,12,624.0,264.0,42.31
84,2024-05-29,P009,Headset,Accessories,North,Small Business,90,85.5,5,45,15,1282.5,607.5,47.37
85,2024-05-25,P006,Standing Desk,Furniture,West,Consumer,600,600.0,0,390,3,1800.0,630.0,35.0
86,2024-12-07,P006,Standing Desk,Furniture,South,Consumer,600,570.0,5,390,11,6270.0,1980.0,31.58
87,2024-12-28,P002,Laptop Pro,Electronics,North,Small Business,1200,1020.0,15,850,9,9180.0,1530.0,16.67
88,2024-05-22,P008,Monitor 32 inch,Electronics,West,Enterprise,350,350.0,0,230,11,3850.0,1320.0,34.29
89,2024-07-20,P009,Headset,Accessories,East,Enterprise,90,85.5,5,45,8,684.0,324.0,47.37
90,2024-11-13,P001,Laptop Basic,Electronics,North,Small Business,700,700.0,0,480,10,7000.0,2200.0,31.43
91,2024-11-09,P006,Standing Desk,Furniture,East,Small Business,600,600.0,0,390,8,4800.0,1680.0,35.0
92,2024-11-15,P003,Wireless Mouse,Accessories,West,Consumer,40,34.0,15,18,4,136.0,64.0,47.06
93,2024-09-27,P001,Laptop Basic,Electronics,East,Small Business,700,595.0,15,480,10,5950.0,1150.0,19.33
94,2024-11-25,P001,Laptop Basic,Electronics,North,Enterprise,700,665.0,5,480,5,3325.0,925.0,27.82
95,2024-12-01,P002,Laptop Pro,Electronics,East,Consumer,1200,1140.0,5,850,10,11400.0,2900.0,25.44
96,2024-03-21,P001,Laptop Basic,Electronics,East,Consumer,700,560.0,20,480,11,6160.0,880.0,14.29
97,2024-10-12,P006,Standing Desk,Furniture,North,Enterprise,600,510.0,15,390,5,2550.0,600.0,23.53
98,2024-03-07,P010,Webcam,Accessories,South,Enterprise,120,108.0,10,70,8,864.0,304.0,35.19
99,2024-03-27,P009,Headset,Accessories,West,Enterprise,90,85.5,5,45,10,855.0,405.0,47.37
100,2024-11-17,P001,Laptop Basic,Electronics,North,Small Business,700,595.0,15,480,7,4165.0,805.0,19.33
101,2024-07-23,P009,Headset,Accessories,West,Enterprise,90,72.0,20,45,16,1152.0,432.0,37.5
102,2024-05-06,P007,Monitor 24 inch,Electronics,West,Consumer,180,162.0,10,110,8,1296.0,416.0,32.1
103,2024-04-20,P006,Standing Desk,Furniture,East,Consumer,600,570.0,5,390,5,2850.0,900.0,31.58
104,2024-04-23,P005,Office Chair,Furniture,West,Small Business,250,250.0,0,140,10,2500.0,1100.0,44.0
105,2024-12-14,P010,Webcam,Accessories,West,Enterprise,120,102.0,15,70,7,714.0,224.0,31.37
106,2024-10-19,P004,Keyboard,Accessories,South,Consumer,65,45.5,30,30,10,455.0,155.0,34.07
107,2024-05-30,P004,Keyboard,Accessories,South,Consumer,65,45.5,30,30,6,273.0,93.0,34.07
108,2024-05-20,P001,Laptop Basic,Electronics,East,Enterprise,700,630.0,10,480,10,6300.0,1500.0,23.81
